address,latitude,longitude
"Apartado 123, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 123, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 124, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
,,
"Apartado 124, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 125, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 125, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 126, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 126, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 127, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 127, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 128, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
,,
"Apartado 128, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
,,
"Apartado 129, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 129, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 13, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
EC A DOS CUNHADOS"
"Apartado 13, Torres Vedras
2564-909 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 13, Silveira
2564-906 SILVEIRA
Silveira, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
PC SANTA CRUZ (TORRES VEDRAS)"
"Apartado 13, Runa
2566-909 RUNA
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
EC RUNA"
,,
"Apartado 13, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
LOJA CTT A DOS CUNHADOS"
"Apartado 13, Torres Vedras
2564-909 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 13, Runa
2566-909 RUNA
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
LOJA CTT RUNA"
"Apartado 13, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
PC A DOS CUNHADOS"
"Apartado 13, A dos Cunhados
2564-906 A DOS CUNHADOS
Silveira, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
PC SANTA CRUZ"
"Apartado 130, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 130, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 131, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
,,
"Apartado 131, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
,,
"Apartado 132, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 132, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 133, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 133, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 134, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
